"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Vitamin_A_RE_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV","Category","Item","Serving Size","Id","cluster"
100.0,0.0,25.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Sprite (Child)","12 fl oz cup",130.0,"cluster_2"
100.0,2.5,125.0,12.0,12.0,8.0,100.0,2.4,0.0,330.0,0.0,"Beverages","1% Low Fat Milk Jug","1 carton (236 ml)",131.0,"cluster_2"
130.0,0.0,135.0,23.0,22.0,9.0,100.0,0.0,0.5,330.0,1.44,"Beverages","Fat Free Chocolate Milk Jug","1 carton (236 ml)",132.0,"cluster_2"
80.0,0.0,15.0,21.0,19.0,0.0,0.0,60.0,0.0,110.0,0.0,"Beverages","Minute Maid 100% Apple Juice Box","6 fl oz (177 ml)",133.0,"cluster_2"
150.0,0.0,0.0,34.0,30.0,2.0,0.0,78.0,0.0,22.0,0.0,"Beverages","Minute Maid Orange Juice (Small)","12 fl oz cup",134.0,"cluster_2"
190.0,0.0,0.0,44.0,39.0,3.0,0.0,96.0,0.0,44.0,0.0,"Beverages","Minute Maid Orange Juice (Medium)","16 fl oz cup",135.0,"cluster_2"
280.0,0.0,5.0,65.0,58.0,4.0,0.0,144.0,0.0,44.0,0.0,"Beverages","Minute Maid Orange Juice (Large)","22 fl oz cup",136.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Beverages","Dasani Water Bottle","16.9 fl oz",137.0,"cluster_2"
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Small)","16 fl oz cup",138.0,"cluster_2"
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Medium)","21 fl oz cup",139.0,"cluster_2"
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Large)","30 fl oz cup",140.0,"cluster_2"
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Iced Tea (Child)","12 fl oz cup",141.0,"cluster_2"
150.0,0.0,10.0,36.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Small)","16 fl oz cup",142.0,"cluster_2"
180.0,0.0,10.0,45.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Medium)","21 fl oz cup",143.0,"cluster_2"
220.0,0.0,10.0,54.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Large)","30 fl oz cup",144.0,"cluster_2"
110.0,0.0,5.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Sweet Tea (Child)","12 fl oz cup",145.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Coffee (Small)","12 fl oz cup",146.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Coffee (Medium)","16 fl oz cup",147.0,"cluster_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Coffee & Tea","Coffee (Large)","16 fl oz cup",148.0,"cluster_2"
170.0,9.0,115.0,15.0,12.0,9.0,80.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Latte (Small)","12 fl oz cup",149.0,"cluster_2"
210.0,10.0,140.0,18.0,15.0,11.0,100.0,0.0,1.0,385.0,0.0,"Coffee & Tea","Latte (Medium)","16 fl oz cup",150.0,"cluster_2"
280.0,14.0,180.0,24.0,20.0,15.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Latte (Large)","20 fl oz cup",151.0,"cluster_0"
270.0,9.0,115.0,40.0,38.0,9.0,80.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Caramel Latte (Small)","12 fl oz cup",152.0,"cluster_2"
340.0,10.0,140.0,50.0,48.0,11.0,100.0,0.0,1.0,385.0,0.0,"Coffee & Tea","Caramel Latte (Medium)","16 fl oz cup",153.0,"cluster_0"
430.0,14.0,180.0,62.0,59.0,15.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Caramel Latte (Large)","20 fl oz cup",154.0,"cluster_0"
270.0,9.0,115.0,40.0,38.0,9.0,80.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Hazelnut Latte (Small)","12 fl oz cup",155.0,"cluster_2"
330.0,10.0,140.0,50.0,47.0,11.0,100.0,0.0,1.0,385.0,0.0,"Coffee & Tea","Hazelnut Latte (Medium)","16 fl oz cup",156.0,"cluster_0"
430.0,14.0,180.0,62.0,58.0,15.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Hazelnut Latte (Large)","20 fl oz cup",157.0,"cluster_0"
260.0,9.0,115.0,38.0,36.0,9.0,80.0,0.0,0.75,330.0,0.0,"Coffee & Tea","French Vanilla Latte (Small)","12 fl oz cup",158.0,"cluster_2"
330.0,10.0,140.0,48.0,45.0,11.0,100.0,0.0,1.0,385.0,0.36,"Coffee & Tea","French Vanilla Latte (Medium)","16 fl oz cup",159.0,"cluster_0"
420.0,14.0,190.0,60.0,56.0,15.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","French Vanilla Latte (Large)","20 fl oz cup",160.0,"cluster_0"
210.0,9.0,150.0,24.0,12.0,9.0,80.0,0.0,1.0,330.0,0.0,"Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Small)","12 fl oz cup",161.0,"cluster_2"
260.0,10.0,190.0,29.0,15.0,12.0,100.0,0.0,1.25,385.0,0.0,"Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Medium)","16 fl oz cup",162.0,"cluster_2"
330.0,14.0,240.0,37.0,20.0,15.0,150.0,0.0,1.75,550.0,0.36,"Coffee & Tea","Latte with Sugar Free French Vanilla Syrup (Large)","20 fl oz cup",163.0,"cluster_0"
100.0,0.0,110.0,15.0,13.0,10.0,100.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Nonfat Latte (Small)","12 fl oz cup",164.0,"cluster_2"
130.0,0.0,135.0,19.0,16.0,12.0,150.0,0.0,1.0,440.0,0.0,"Coffee & Tea","Nonfat Latte (Medium)","16 fl oz cup",165.0,"cluster_2"
170.0,0.5,180.0,25.0,21.0,16.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Nonfat Latte (Large)","20 fl oz cup",166.0,"cluster_2"
200.0,0.0,110.0,41.0,39.0,10.0,100.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Nonfat Caramel Latte (Small)","12 fl oz cup",167.0,"cluster_2"
250.0,0.0,135.0,51.0,48.0,12.0,150.0,0.0,1.0,440.0,0.0,"Coffee & Tea","Nonfat Caramel Latte (Medium)","16 fl oz cup",168.0,"cluster_0"
310.0,0.5,180.0,63.0,59.0,16.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Nonfat Caramel Latte (Large)","20 fl oz cup",169.0,"cluster_0"
200.0,0.0,110.0,40.0,38.0,10.0,100.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Nonfat Hazelnut Latte (Small)","12 fl oz cup",170.0,"cluster_2"
250.0,0.0,135.0,51.0,48.0,12.0,150.0,0.0,1.0,440.0,0.0,"Coffee & Tea","Nonfat Hazelnut Latte (Medium)","16 fl oz cup",171.0,"cluster_0"
310.0,0.5,180.0,63.0,59.0,16.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Nonfat Hazelnut Latte (Large)","20 fl oz cup",172.0,"cluster_0"
190.0,0.0,115.0,39.0,37.0,10.0,100.0,0.0,0.75,330.0,0.0,"Coffee & Tea","Nonfat French Vanilla Latte (Small)","12 fl oz cup",173.0,"cluster_2"
240.0,0.0,140.0,49.0,46.0,12.0,150.0,0.0,1.0,440.0,0.36,"Coffee & Tea","Nonfat French Vanilla Latte (Medium)","16 fl oz cup",174.0,"cluster_0"
300.0,0.5,180.0,60.0,56.0,16.0,150.0,0.0,1.5,550.0,0.36,"Coffee & Tea","Nonfat French Vanilla Latte (Large)","20 fl oz cup",175.0,"cluster_0"
140.0,0.0,150.0,24.0,13.0,10.0,100.0,0.0,1.0,330.0,0.0,"Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Small)","12 fl oz cup",176.0,"cluster_2"
170.0,0.0,180.0,30.0,16.0,12.0,150.0,0.0,1.25,440.0,0.0,"Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)","16 fl oz cup",177.0,"cluster_2"
220.0,0.5,240.0,38.0,21.0,16.0,150.0,0.0,1.75,550.0,0.36,"Coffee & Tea","Nonfat Latte with Sugar Free French Vanilla Syrup (Large)","20 fl oz cup",178.0,"cluster_0"
340.0,11.0,150.0,49.0,42.0,10.0,100.0,0.0,1.5,330.0,1.08,"Coffee & Tea","Mocha (Small)","12 fl oz cup",179.0,"cluster_0"
410.0,14.0,190.0,60.0,53.0,13.0,100.0,0.0,2.0,440.0,1.08,"Coffee & Tea","Mocha (Medium)","16 fl oz cup",180.0,"cluster_0"
500.0,17.0,240.0,72.0,63.0,16.0,150.0,0.0,2.5,550.0,1.44,"Coffee & Tea","Mocha (Large)","20 fl oz cup",181.0,"cluster_0"
270.0,3.5,150.0,49.0,43.0,11.0,100.0,0.0,1.5,385.0,1.08,"Coffee & Tea","Mocha with Nonfat Milk (Small)","12 fl oz cup",182.0,"cluster_0"
330.0,3.5,190.0,60.0,53.0,13.0,150.0,0.0,2.0,440.0,1.08,"Coffee & Tea","Mocha with Nonfat Milk (Medium)","16 fl oz cup",183.0,"cluster_0"
390.0,4.0,240.0,73.0,64.0,17.0,200.0,0.0,2.5,550.0,1.44,"Coffee & Tea","Mocha with Nonfat Milk (Large)","20 fl oz cup",184.0,"cluster_0"
320.0,11.0,170.0,45.0,40.0,10.0,100.0,0.0,0.75,330.0,0.36,"Coffee & Tea","Caramel Mocha (Small)","12 fl oz cup",185.0,"cluster_0"
390.0,14.0,220.0,55.0,50.0,12.0,150.0,0.0,1.0,440.0,0.36,"Coffee & Tea","Caramel Mocha (Medium)","16 fl oz cup",186.0,"cluster_0"
480.0,17.0,270.0,66.0,60.0,16.0,150.0,0.0,1.25,550.0,0.72,"Coffee & Tea","Caramel Mocha (Large)","20 fl oz cup",187.0,"cluster_0"
250.0,3.5,170.0,45.0,41.0,10.0,100.0,0.0,0.75,385.0,0.36,"Coffee & Tea","Nonfat Caramel Mocha (Small)","12 fl oz cup",188.0,"cluster_0"
310.0,3.5,210.0,56.0,51.0,13.0,150.0,0.0,1.0,440.0,0.36,"Coffee & Tea","Nonfat Caramel Mocha (Medium)","16 fl oz cup",189.0,"cluster_0"
370.0,3.5,270.0,67.0,61.0,17.0,200.0,0.0,1.25,550.0,0.72,"Coffee & Tea","Nonfat Caramel Mocha (Large)","20 fl oz cup",190.0,"cluster_0"
360.0,13.0,180.0,50.0,45.0,11.0,100.0,0.0,0.75,440.0,1.08,"Coffee & Tea","Hot Chocolate (Small)","12 fl oz cup",191.0,"cluster_0"
440.0,16.0,220.0,61.0,56.0,14.0,150.0,0.0,1.0,495.0,1.08,"Coffee & Tea","Hot Chocolate (Medium)","16 fl oz cup",192.0,"cluster_0"
540.0,20.0,280.0,73.0,68.0,17.0,200.0,0.0,1.25,660.0,1.44,"Coffee & Tea","Hot Chocolate (Large)","20 fl oz cup",193.0,"cluster_0"
280.0,3.5,180.0,50.0,46.0,12.0,150.0,0.0,0.75,440.0,1.08,"Coffee & Tea","Hot Chocolate with Nonfat Milk (Small)","12 fl oz cup",194.0,"cluster_0"
340.0,3.5,220.0,61.0,57.0,14.0,200.0,0.0,1.0,550.0,1.08,"Coffee & Tea","Hot Chocolate with Nonfat Milk (Medium)","16 fl oz cup",195.0,"cluster_0"
400.0,3.5,280.0,74.0,69.0,19.0,250.0,0.0,1.25,660.0,1.44,"Coffee & Tea","Hot Chocolate with Nonfat Milk (Large)","20 fl oz cup",196.0,"cluster_0"
140.0,4.5,35.0,23.0,22.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Regular Iced Coffee (Small)","16 fl oz cup",197.0,"cluster_2"
190.0,7.0,50.0,31.0,30.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Regular Iced Coffee (Medium)","22 fl oz cup",198.0,"cluster_2"
270.0,9.0,75.0,47.0,45.0,2.0,60.0,0.0,0.0,88.0,0.0,"Coffee & Tea","Regular Iced Coffee (Large)","32 fl oz cup",199.0,"cluster_2"
130.0,4.5,35.0,22.0,21.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Caramel Iced Coffee (Small)","16 fl oz cup",200.0,"cluster_2"
180.0,7.0,50.0,29.0,28.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Caramel Iced Coffee (Medium)","22 fl oz cup",201.0,"cluster_2"
260.0,9.0,65.0,43.0,42.0,2.0,60.0,0.0,0.0,66.0,0.0,"Coffee & Tea","Caramel Iced Coffee (Large)","32 fl oz cup",202.0,"cluster_2"
130.0,4.5,35.0,21.0,20.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Hazelnut Iced Coffee (Small)","16 fl oz cup",203.0,"cluster_2"
180.0,7.0,50.0,29.0,28.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Hazelnut Iced Coffee (Medium)","22 fl oz cup",204.0,"cluster_2"
250.0,9.0,75.0,43.0,41.0,2.0,60.0,0.0,0.0,88.0,0.0,"Coffee & Tea","Hazelnut Iced Coffee (Large)","32 fl oz cup",205.0,"cluster_2"
120.0,4.5,40.0,20.0,19.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","French Vanilla Iced Coffee (Small)","16 fl oz cup",206.0,"cluster_2"
170.0,7.0,55.0,27.0,26.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","French Vanilla Iced Coffee (Medium)","22 fl oz cup",207.0,"cluster_2"
240.0,9.0,80.0,41.0,39.0,2.0,60.0,0.0,0.0,88.0,0.0,"Coffee & Tea","French Vanilla Iced Coffee (Large)","32 fl oz cup",208.0,"cluster_2"
80.0,4.5,65.0,9.0,1.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Small)","16 fl oz cup",209.0,"cluster_2"
120.0,7.0,90.0,12.0,2.0,1.0,40.0,0.0,0.0,44.0,0.0,"Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Medium)","22 fl oz cup",210.0,"cluster_2"
160.0,9.0,135.0,18.0,2.0,2.0,60.0,0.0,0.0,88.0,0.0,"Coffee & Tea","Iced Coffee with Sugar Free French Vanilla Syrup (Large)","32 fl oz cup",211.0,"cluster_2"
290.0,11.0,125.0,41.0,34.0,8.0,100.0,0.0,1.0,275.0,0.72,"Coffee & Tea","Iced Mocha (Small)","12 fl oz cup",212.0,"cluster_2"
350.0,13.0,150.0,50.0,43.0,9.0,100.0,0.0,1.25,330.0,1.08,"Coffee & Tea","Iced Mocha (Medium)","16 fl oz cup",213.0,"cluster_0"
480.0,16.0,220.0,70.0,62.0,14.0,150.0,0.0,2.0,440.0,1.44,"Coffee & Tea","Iced Mocha (Large)","22 fl oz cup",214.0,"cluster_0"
240.0,5.0,125.0,41.0,35.0,8.0,100.0,0.0,1.0,275.0,0.72,"Coffee & Tea","Iced Mocha with Nonfat Milk (Small)","12 fl oz cup",215.0,"cluster_2"
290.0,5.0,150.0,50.0,43.0,10.0,150.0,0.0,1.25,330.0,1.08,"Coffee & Tea","Iced Mocha with Nonfat Milk (Medium)","16 fl oz cup",216.0,"cluster_0"
390.0,6.0,220.0,71.0,62.0,14.0,200.0,0.0,2.0,495.0,1.44,"Coffee & Tea","Iced Mocha with Nonfat Milk (Large)","22 fl oz cup",217.0,"cluster_0"
280.0,11.0,140.0,38.0,33.0,8.0,100.0,0.0,0.0,275.0,0.36,"Coffee & Tea","Iced Caramel Mocha (Small)","12 fl oz cup",218.0,"cluster_2"
340.0,13.0,170.0,46.0,41.0,9.0,100.0,0.0,0.5,330.0,0.36,"Coffee & Tea","Iced Caramel Mocha (Medium)","16 fl oz cup",219.0,"cluster_0"
460.0,16.0,250.0,65.0,59.0,13.0,150.0,0.0,0.75,440.0,0.72,"Coffee & Tea","Iced Caramel Mocha (Large)","22 fl oz cup",220.0,"cluster_0"
230.0,5.0,140.0,38.0,33.0,8.0,100.0,0.0,0.0,275.0,0.36,"Coffee & Tea","Iced Nonfat Caramel Mocha (Small)","12 fl oz cup",221.0,"cluster_2"
270.0,5.0,170.0,47.0,41.0,10.0,150.0,0.0,0.5,330.0,0.36,"Coffee & Tea","Iced Nonfat Caramel Mocha (Medium)","16 fl oz cup",222.0,"cluster_2"
370.0,6.0,250.0,65.0,59.0,14.0,200.0,0.0,0.75,495.0,0.72,"Coffee & Tea","Iced Nonfat Caramel Mocha (Large)","22 fl oz cup",223.0,"cluster_0"
450.0,18.0,125.0,65.0,57.0,7.0,150.0,0.0,0.75,220.0,0.72,"Coffee & Tea","Frappé Mocha (Small)","12 fl oz cup",224.0,"cluster_0"
550.0,22.0,160.0,80.0,71.0,9.0,150.0,0.0,1.0,275.0,0.72,"Coffee & Tea","Frappé Mocha (Medium)","16 fl oz cup",225.0,"cluster_0"
670.0,26.0,190.0,98.0,88.0,11.0,200.0,0.0,1.0,385.0,0.72,"Coffee & Tea","Frappé Mocha (Large)","22 fl oz cup",226.0,"cluster_0"
450.0,19.0,125.0,64.0,57.0,7.0,150.0,0.0,0.0,275.0,0.36,"Coffee & Tea","Frappé Caramel (Small)","12 fl oz cup",227.0,"cluster_0"
550.0,23.0,160.0,79.0,71.0,9.0,200.0,0.0,0.0,330.0,0.36,"Coffee & Tea","Frappé Caramel (Medium)","16 fl oz cup",228.0,"cluster_0"
670.0,27.0,190.0,96.0,88.0,11.0,200.0,0.0,0.0,385.0,0.36,"Coffee & Tea","Frappé Caramel (Large)","22 fl oz cup",229.0,"cluster_0"
530.0,23.0,135.0,76.0,67.0,8.0,150.0,0.0,1.25,275.0,0.72,"Coffee & Tea","Frappé Chocolate Chip (Small)","12 fl oz cup",230.0,"cluster_0"
630.0,26.0,160.0,91.0,81.0,9.0,150.0,0.0,1.25,330.0,0.72,"Coffee & Tea","Frappé Chocolate Chip (Medium)","16 fl oz cup",231.0,"cluster_0"
760.0,31.0,200.0,111.0,99.0,12.0,200.0,0.0,1.25,385.0,1.08,"Coffee & Tea","Frappé Chocolate Chip (Large)","22 fl oz cup",232.0,"cluster_0"
220.0,0.5,40.0,50.0,44.0,2.0,0.0,1.2,3.0,66.0,0.36,"Smoothies & Shakes","Blueberry Pomegranate Smoothie (Small)","12 fl oz cup",233.0,"cluster_2"
260.0,1.0,50.0,62.0,54.0,3.0,0.0,2.4,3.75,88.0,0.36,"Smoothies & Shakes","Blueberry Pomegranate Smoothie (Medium)","16 fl oz cup",234.0,"cluster_2"
340.0,1.0,65.0,79.0,70.0,4.0,0.0,2.4,4.75,110.0,0.36,"Smoothies & Shakes","Blueberry Pomegranate Smoothie (Large)","22 fl oz cup",235.0,"cluster_0"
210.0,0.5,50.0,47.0,44.0,3.0,0.0,18.0,2.5,88.0,0.36,"Smoothies & Shakes","Strawberry Banana Smoothie (Small)","12 fl oz cup",236.0,"cluster_2"
250.0,1.0,60.0,58.0,54.0,4.0,0.0,21.0,3.25,88.0,0.72,"Smoothies & Shakes","Strawberry Banana Smoothie (Medium)","16 fl oz cup",237.0,"cluster_2"
330.0,1.0,80.0,74.0,70.0,5.0,0.0,27.0,4.0,110.0,0.72,"Smoothies & Shakes","Strawberry Banana Smoothie (Large)","22 fl oz cup",238.0,"cluster_0"
210.0,0.5,40.0,50.0,46.0,2.0,300.0,12.0,1.0,88.0,0.36,"Smoothies & Shakes","Mango Pineapple Smoothie (Small)","12 fl oz cup",239.0,"cluster_2"
260.0,1.0,45.0,61.0,56.0,3.0,400.0,15.0,1.25,88.0,0.36,"Smoothies & Shakes","Mango Pineapple Smoothie (Medium)","16 fl oz cup",240.0,"cluster_2"
340.0,1.0,60.0,78.0,72.0,4.0,500.0,18.0,1.5,110.0,0.36,"Smoothies & Shakes","Mango Pineapple Smoothie (Large)","22 fl oz cup",241.0,"cluster_0"
530.0,15.0,160.0,86.0,63.0,11.0,200.0,0.0,0.0,440.0,0.0,"Smoothies & Shakes","Vanilla Shake (Small)","12 fl oz cup",242.0,"cluster_0"
660.0,19.0,200.0,109.0,81.0,14.0,250.0,0.0,0.0,550.0,0.0,"Smoothies & Shakes","Vanilla Shake (Medium)","16 fl oz cup",243.0,"cluster_0"
820.0,23.0,260.0,135.0,101.0,18.0,300.0,0.0,0.0,660.0,0.0,"Smoothies & Shakes","Vanilla Shake (Large)","22 fl oz cup",244.0,"cluster_0"
550.0,16.0,160.0,90.0,79.0,12.0,200.0,0.0,0.0,440.0,0.0,"Smoothies & Shakes","Strawberry Shake (Small)","12 fl oz cup",245.0,"cluster_0"
690.0,20.0,210.0,114.0,100.0,15.0,250.0,0.0,0.0,550.0,0.0,"Smoothies & Shakes","Strawberry Shake (Medium)","16 fl oz cup",246.0,"cluster_0"
850.0,24.0,260.0,140.0,123.0,18.0,300.0,0.0,0.0,770.0,0.0,"Smoothies & Shakes","Strawberry Shake (Large)","22 fl oz cup",247.0,"cluster_0"
560.0,16.0,240.0,91.0,77.0,12.0,200.0,0.0,1.25,440.0,1.44,"Smoothies & Shakes","Chocolate Shake (Small)","12 fl oz cup",248.0,"cluster_0"
700.0,20.0,300.0,114.0,97.0,15.0,250.0,0.0,1.5,550.0,1.8,"Smoothies & Shakes","Chocolate Shake (Medium)","16 fl oz cup",249.0,"cluster_0"
850.0,23.0,380.0,141.0,120.0,19.0,300.0,0.0,2.0,660.0,2.7,"Smoothies & Shakes","Chocolate Shake (Large)","22 fl oz cup",250.0,"cluster_0"
660.0,19.0,210.0,109.0,93.0,14.0,250.0,0.0,0.0,550.0,0.0,"Smoothies & Shakes","Shamrock Shake (Medium)","16 fl oz cup",251.0,"cluster_0"
820.0,23.0,260.0,135.0,115.0,18.0,300.0,0.0,0.0,660.0,0.0,"Smoothies & Shakes","Shamrock Shake (Large)","22 fl oz cup",252.0,"cluster_0"
650.0,23.0,180.0,96.0,89.0,13.0,150.0,0.0,1.5,495.0,1.44,"Smoothies & Shakes","McFlurry with M&M’s Candies (Small)","10.9 oz (310 g)",253.0,"cluster_0"
930.0,33.0,260.0,139.0,128.0,20.0,250.0,0.0,1.75,770.0,1.8,"Smoothies & Shakes","McFlurry with M&M’s Candies (Medium)","16.2 oz (460 g)",254.0,"cluster_0"
430.0,15.0,120.0,64.0,59.0,9.0,100.0,0.0,1.0,330.0,0.72,"Smoothies & Shakes","McFlurry with M&M’s Candies (Snack)","7.3 oz (207 g)",255.0,"cluster_0"
510.0,17.0,280.0,80.0,64.0,12.0,150.0,0.0,1.0,440.0,1.44,"Smoothies & Shakes","McFlurry with Oreo Cookies (Small)","10.1 oz (285 g)",256.0,"cluster_0"
690.0,23.0,380.0,106.0,85.0,15.0,200.0,0.0,1.25,550.0,1.8,"Smoothies & Shakes","McFlurry with Oreo Cookies (Medium)","13.4 oz (381 g)",257.0,"cluster_0"
340.0,11.0,190.0,53.0,43.0,8.0,100.0,0.0,0.5,275.0,1.08,"Smoothies & Shakes","McFlurry with Oreo Cookies (Snack)","6.7 oz (190 g)",258.0,"cluster_0"
810.0,32.0,400.0,114.0,103.0,21.0,200.0,0.0,2.25,660.0,1.08,"Smoothies & Shakes","McFlurry with Reese's Peanut Butter Cups (Medium)","14.2 oz (403 g)",259.0,"cluster_0"
410.0,16.0,200.0,57.0,51.0,10.0,100.0,0.0,1.25,330.0,0.72,"Smoothies & Shakes","McFlurry with Reese's Peanut Butter Cups (Snack)","7.1 oz (202 g)",260.0,"cluster_0"
